trade_id,asset,setup,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,return_pct,holding_period,is_winner
1,ABBV,gap_and_go,2024-03-15,167.2738,154.93492142857144,191.95155714285713,2024-03-22,167.8098,time_exit,0.003204327276596919,5,True
2,ABBV,gap_and_go,2024-05-31,153.0742,143.70967857142855,171.80324285714283,2024-06-07,160.8399,time_exit,0.05073160597932258,5,True
3,ABBV,gap_and_go,2024-06-28,162.8336,152.6850357142857,183.13072857142856,2024-07-08,158.0868,time_exit,-0.029151231686826207,5,False
4,ABBV,gap_and_go,2024-09-20,185.3663,175.81397857142858,204.47094285714286,2024-09-27,186.631,time_exit,0.006822707255849769,5,True
5,ABBV,gap_and_go,2024-12-20,169.5847,162.1992642857143,184.35557142857144,2024-12-30,170.1835,time_exit,0.003530978914961125,5,True
6,ACN,gap_and_go,2024-06-20,297.2125,283.58716428571427,324.4631714285714,2024-06-27,294.3293,time_exit,-0.00970080329730405,5,False
7,ACN,gap_and_go,2024-06-28,294.5429,281.24125,321.14619999999996,2024-07-08,290.718,time_exit,-0.012985884229427924,5,False
8,ACN,gap_and_go,2024-12-19,364.335,351.46815,390.0687,2024-12-27,348.6909,time_exit,-0.042938778871093874,5,False
9,ADBE,gap_and_go,2024-06-14,525.31,508.06382857142853,559.8023428571428,2024-06-17,508.06382857142853,stop_loss,-0.032830464732389264,1,False
10,ADBE,gap_and_go,2025-09-12,349.36,338.7085714285714,370.66285714285715,2025-09-18,370.66285714285715,take_profit,0.060976806568746156,4,True
11,ADI,gap_and_go,2024-05-22,233.3473,223.37309285714284,253.29571428571427,2024-05-30,223.4755,time_exit,-0.04230518201839051,5,False
12,AMD,gap_and_go,2025-10-06,203.71,194.0472,223.03560000000002,2025-10-08,223.03560000000002,take_profit,0.09486819498306409,2,True
13,AMZN,gap_and_go,2024-11-01,197.93,193.16285714285715,207.46428571428572,2024-11-06,207.46428571428572,take_profit,0.048169987946676596,3,True
14,AMZN,gap_and_go,2025-10-31,244.22,237.40250714285713,257.8549857142857,2025-11-03,257.8549857142857,take_profit,0.055830749792341816,1,True
15,AON,gap_and_go,2024-07-26,319.1093,310.89133571428573,335.5452285714286,2024-08-02,326.9041,time_exit,0.02442674030496761,5,True
16,APD,gap_and_go,2024-02-06,208.3166,193.60587857142858,237.73804285714286,2024-02-13,207.8962,time_exit,-0.002018082092353657,5,False
17,APD,gap_and_go,2024-06-26,253.7694,241.44376428571428,278.42067142857144,2024-07-03,245.2147,time_exit,-0.03371052617060999,5,False
18,APD,gap_and_go,2024-10-07,304.9086,292.4754857142857,329.77482857142854,2024-10-14,312.3682,time_exit,0.024465036407631757,5,True
19,APD,gap_and_go,2025-11-06,258.79,252.93011428571432,270.5097714285714,2025-11-13,263.03,time_exit,0.016383940646856443,5,True
20,AVGO,gap_and_go,2024-05-31,130.4746,-1138.6606142857142,2668.7450285714285,2024-06-07,138.1437,time_exit,0.05877849021955228,5,True
21,AVGO,gap_and_go,2024-06-13,164.8908,-1131.9830428571427,2758.6384857142857,2024-06-21,162.8912,time_exit,-0.012126813624532162,5,False
22,AVGO,gap_and_go,2024-07-18,158.1638,-955.973642857143,2386.438685714286,2024-07-25,147.069,time_exit,-0.0701475305980257,5,False
23,AVGO,gap_and_go,2024-12-13,222.2014,212.10046428571428,242.40327142857143,2024-12-16,242.40327142857143,take_profit,0.09091694034588182,1,True
24,AVGO,gap_and_go,2024-12-16,247.1101,235.23879285714284,270.8527142857143,2024-12-17,235.23879285714284,stop_loss,-0.04804055820809083,1,False
25,AVGO,gap_and_go,2025-03-07,193.1957,181.44659285714283,216.69391428571427,2025-03-10,181.44659285714283,stop_loss,-0.06081453750190691,1,False
26,AVGO,gap_and_go,2025-09-05,333.6726111,321.0919825285714,358.83386824285714,2025-09-10,358.83386824285714,take_profit,0.07540701965291507,3,True
27,BAC,gap_and_go,2024-11-06,44.1403,42.35640714285715,47.708085714285716,2024-11-13,44.5875,time_exit,0.010131331232456464,5,True
28,BAC,gap_and_go,2025-04-07,34.9959,33.31661428571428,38.35447142857143,2025-04-09,33.31661428571428,stop_loss,-0.04798521296168179,2,False
