trade_id,asset,setup,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,return_pct,holding_period,is_winner
1,TEST1,standard_breakout,2024-07-10 00:00:00,132.0012732663053,125.80899422368508,144.38583135154576,2024-07-18 00:00:00,144.38583135154576,take_profit,0.09382150473848294,8,True
2,TEST1,standard_breakout,2024-10-03 00:00:00,161.58469163164014,154.90598748601982,174.9420999228808,2024-10-05 00:00:00,154.90598748601982,stop_loss,-0.04133253019317917,2,False
3,TEST1,standard_breakout,2024-10-27 00:00:00,156.38413570339014,149.73629605174213,169.67981500668617,2024-10-30 00:00:00,149.73629605174213,stop_loss,-0.042509680548778905,3,False
4,TEST1,standard_breakout,2024-11-28 00:00:00,154.29299161161444,148.88340815872905,165.11215851738518,2024-12-05 00:00:00,148.88340815872905,stop_loss,-0.03506046124572115,7,False
5,TEST2,standard_breakout,2024-06-08 00:00:00,201.03108209784938,193.01747428204465,217.05829772945884,2024-06-17 00:00:00,217.05829772945884,take_profit,0.07972506273337587,9,True
6,TEST3,standard_breakout,2024-08-31 00:00:00,585.2163034115222,557.0460190550543,641.556872124458,2024-09-07 00:00:00,641.556872124458,take_profit,0.09627306755553144,7,True
7,TEST4,standard_breakout,2023-11-15 00:00:00,551.8289467684158,520.3905613893556,614.705717526536,2023-11-21 00:00:00,614.705717526536,take_profit,0.11394250179577381,6,True
8,TEST4,standard_breakout,2024-01-01 00:00:00,624.9563763842898,598.4669126686595,677.9353038155504,2024-01-11 00:00:00,652.4387305551458,time_exit,0.04397483601952534,10,True
9,TEST4,standard_breakout,2024-01-11 00:00:00,652.4387305551458,632.899963510213,691.5162646450113,2024-01-17 00:00:00,691.5162646450113,take_profit,0.05989456520555625,6,True
10,TEST5,standard_breakout,2024-09-05 00:00:00,247.29711665379813,237.26112135289355,267.3691072556073,2024-09-15 00:00:00,237.26112135289355,stop_loss,-0.04058274288314645,10,False
