trade_id,asset,setup,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct,holding_period,max_gain_pct,is_winner
1,AMAT,deep_value_pullback,2024-08-02,179.2176,2024-08-05,179.2965,technical_breakdown,0.0004402469400326403,1,0.04437287409272295,True
2,AMD,deep_value_pullback,2024-07-25,138.32,2024-07-26,139.99,technical_breakdown,0.012073452862926715,1,0.02147194910352801,True
3,AMD,deep_value_pullback,2024-08-01,132.54,2024-08-02,132.5,technical_breakdown,-0.0003017956843216485,1,0.03440470801267548,False
4,CI,deep_value_pullback,2024-12-17,260.2635,2024-12-18,276.7462,technical_breakdown,0.06333081665312257,1,0.09231605661185682,True
5,CRM,deep_value_pullback,2024-05-30,215.6442,2024-05-31,231.8959,technical_breakdown,0.07536349227106509,1,0.08799587468617287,True
6,INTC,deep_value_pullback,2024-08-02,21.3395,2024-08-05,19.9785,technical_breakdown,-0.06377843904496361,1,0.0,False
7,INTC,deep_value_pullback,2024-08-06,19.7003,2024-08-07,18.99,technical_breakdown,-0.036055288498144655,1,0.027903128378755637,False
8,INTC,deep_value_pullback,2024-08-08,20.49,2024-08-09,19.71,technical_breakdown,-0.03806734992679339,1,0.0,False
9,INTC,deep_value_pullback,2024-08-12,19.36,2024-08-13,20.47,technical_breakdown,0.05733471074380159,1,0.05785123966942152,True
10,INTC,deep_value_pullback,2024-08-14,19.92,2024-08-15,20.69,technical_breakdown,0.03865461847389562,1,0.057228915662650426,True
11,INTC,deep_value_pullback,2024-08-16,20.87,2024-08-19,21.52,technical_breakdown,0.03114518447532344,1,0.047436511739338716,True
12,LRCX,deep_value_pullback,2024-08-01,81.7985,2024-08-02,122.69775000000001,profit_target,0.5,1,8.846513077868176,True
13,LRCX,deep_value_pullback,2024-08-05,75.8936,2024-08-06,113.84040000000002,profit_target,0.5,1,9.474926739540619,True
14,LRCX,deep_value_pullback,2024-08-07,73.6928,2024-08-08,110.53920000000001,profit_target,0.5,1,9.871889791132919,True
15,NKE,deep_value_pullback,2024-06-28,72.9402,2024-07-01,74.3532,technical_breakdown,0.019372033528835875,1,0.056481885160720724,True
16,NKE,deep_value_pullback,2024-07-02,73.5886,2024-07-03,72.8144,technical_breakdown,-0.010520651296532235,1,0.0316815376294699,False
17,NKE,deep_value_pullback,2024-07-05,72.9983,2024-07-08,70.695,technical_breakdown,-0.031552789585511,1,0.034133671606050964,False
18,NKE,deep_value_pullback,2024-07-09,70.1241,2024-07-10,70.2015,technical_breakdown,0.0011037574813794748,1,0.035877822317862185,True
19,NVDA,deep_value_pullback,2024-07-30,103.6864,2024-08-02,105.7408,trailing_stop,0.019813591753595317,3,0.15887908153817665,True
20,QCOM,deep_value_pullback,2024-08-02,154.2065,2024-08-05,152.8901,technical_breakdown,-0.008536605136618802,1,0.05585691913116486,False
21,TGT,deep_value_pullback,2024-11-20,116.5359,2024-11-21,116.4115,technical_breakdown,-0.0010674822093448277,1,0.0649078953352571,False
22,TSLA,deep_value_pullback,2024-08-05,198.88,2024-08-07,191.76,technical_breakdown,-0.035800482703137626,2,0.023179806918744994,False
