trade_id,asset,setup,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct,holding_period,max_gain_pct,is_winner
1,AAPL,confirmed_breakout,2024-06-12,211.6497,2024-08-05,208.76239999999999,trailing_stop,-0.013641880900374548,36,0.12086149897684706,False
2,ADBE,confirmed_breakout,2024-11-13,532.5,2024-11-15,503.37,technical_breakdown,-0.05470422535211261,2,0.004018591549295847,False
3,AMD,confirmed_breakout,2024-07-08,178.69,2024-07-18,159.188,trailing_stop,-0.10913873188203038,8,0.04807208013878794,False
4,AMZN,confirmed_breakout,2024-06-27,197.85,2024-08-02,171.01999999999998,trailing_stop,-0.135607783674501,25,0.016932019206469473,False
5,AMZN,confirmed_breakout,2024-09-20,191.6,2025-02-25,206.142,trailing_stop,0.07589770354906045,106,0.26576200417536544,True
6,AON,confirmed_breakout,2024-07-26,319.1093,2025-04-25,351.0245,trailing_stop,0.10001338099516355,187,0.2941333894060749,True
7,APD,confirmed_breakout,2024-08-01,278.624,2024-12-19,292.767112,trailing_stop,0.05076056621109437,98,0.209515332491099,True
8,AVGO,confirmed_breakout,2024-12-16,247.1101,2025-01-27,212.1515,trailing_stop,-0.14146973353173342,26,0.010035607609725439,False
9,BKNG,confirmed_breakout,2024-11-06,4956.3935,2025-03-10,4536.6539999999995,trailing_stop,-0.08468647616457425,82,0.07683943980638341,False
10,BRK-B,confirmed_breakout,2024-08-28,464.59,2025-04-07,474.32,trailing_stop,0.020943197227663246,151,0.16016272412234445,True
11,CB,confirmed_breakout,2024-05-16,258.8506,2025-01-08,265.80224,trailing_stop,0.02685580021834988,162,0.1668815911572159,True
12,CRM,confirmed_breakout,2024-11-11,339.0937,2025-02-21,313.65,trailing_stop,-0.07503442263893445,68,0.08819479689537135,False
13,ETN,confirmed_breakout,2024-11-06,354.5935,2025-01-27,322.9915,trailing_stop,-0.08912176901155844,53,0.07162144822169614,False
14,FDX,confirmed_breakout,2024-03-22,273.5532,2024-05-23,247.2395,trailing_stop,-0.09619225803244125,43,0.0633032258441868,False
15,FDX,confirmed_breakout,2024-06-26,286.5069,2024-09-20,266.76399999999995,trailing_stop,-0.06890898613611063,60,0.09540119278104653,False
16,GOOGL,confirmed_breakout,2024-12-11,194.6272,2025-02-25,175.9925,trailing_stop,-0.0957456100688906,49,0.0638286940365993,False
17,INTU,confirmed_breakout,2024-11-06,644.0508,2024-12-03,629.0064,trailing_stop,-0.023359026958743034,18,0.10981928754688286,False
18,ISRG,confirmed_breakout,2024-06-06,418.15,2025-03-07,505.12000000000006,trailing_stop,0.2079875642711948,187,0.4731555661843836,True
19,MO,confirmed_breakout,2024-10-31,50.7561,2025-01-08,51.0708,trailing_stop,0.006200239971156041,46,0.14340936360358647,True
20,NOC,confirmed_breakout,2024-07-25,458.7583,2024-12-06,472.230845,trailing_stop,0.02936741416994515,94,0.2110204872587591,True
21,NSC,confirmed_breakout,2024-07-26,239.4447,2024-12-16,244.288,trailing_stop,0.020227217390904828,99,0.15934911067148283,True
22,PYPL,confirmed_breakout,2024-04-30,67.7622,2024-06-18,58.9826,technical_breakdown,-0.12956486064502049,34,0.007914441975024333,False
23,PYPL,confirmed_breakout,2024-07-30,63.8513,2025-02-11,76.80120000000001,trailing_stop,0.20281341178644774,134,0.466845624129814,True
24,TMO,confirmed_breakout,2024-07-26,604.1599,2024-10-24,554.9981,technical_breakdown,-0.08137216654067903,63,0.03926129489891661,False
25,TSLA,confirmed_breakout,2024-07-02,231.26,2024-07-12,238.48,trailing_stop,0.03122027155582452,7,0.1718412176770734,True
26,TSLA,confirmed_breakout,2024-11-07,296.91,2024-12-16,445.365,profit_target,0.5,26,0.5600350274493953,True
27,TSLA,confirmed_breakout,2024-12-17,479.86,2024-12-31,415.258915,trailing_stop,-0.1346248593339724,9,0.018088400783561775,False
28,UNH,confirmed_breakout,2024-07-17,555.2497,2024-12-06,555.0424,trailing_stop,-0.0003733455416543574,100,0.1359393800663018,False
29,VRTX,confirmed_breakout,2024-05-08,418.82,2024-12-18,447.5,technical_breakdown,0.06847810515257158,155,0.24129697722171817,True
