trade_id,asset,setup,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct,holding_period,max_gain_pct,is_winner
1,AMAT,drawdown_recovery,2024-07-31,209.1743,2024-08-02,179.2176,technical_breakdown,-0.14321405641132767,2,0.0,False
2,AMAT,drawdown_recovery,2024-08-09,188.454,2024-09-03,187.44,trailing_stop,-0.005380623388200889,16,0.1302492916043172,False
3,AMD,drawdown_recovery,2024-08-08,136.32,2024-08-09,134.27,technical_breakdown,-0.015038145539906012,1,0.0,False
4,BKNG,drawdown_recovery,2024-08-09,3404.2271,2024-08-12,3400.4008,technical_breakdown,-0.0011239849421327275,1,0.01975276561308137,False
5,CRM,drawdown_recovery,2024-06-06,240.1256,2024-06-07,239.2255,technical_breakdown,-0.003748454975229576,1,0.015842958851534306,False
6,CRM,drawdown_recovery,2024-06-10,239.2156,2024-06-11,238.3748,technical_breakdown,-0.0035148209397715124,1,0.018955285524857146,False
7,INTC,drawdown_recovery,2024-08-13,20.47,2024-08-14,19.92,technical_breakdown,-0.026868588177821118,1,0.0014655593551540225,False
8,INTC,drawdown_recovery,2024-08-16,20.87,2024-08-19,21.52,technical_breakdown,0.03114518447532344,1,0.047436511739338716,True
9,INTC,drawdown_recovery,2024-08-20,20.99,2024-08-21,21.41,technical_breakdown,0.020009528346832006,1,0.021438780371605626,True
10,LLY,drawdown_recovery,2024-11-25,749.4693,2024-11-26,783.5379,technical_breakdown,0.04545696534868071,1,0.07676191673227972,True
11,LRCX,drawdown_recovery,2024-08-09,79.5888,2024-08-12,119.38320000000002,profit_target,0.5,1,9.334494300705625,True
12,QCOM,drawdown_recovery,2024-08-09,159.2109,2024-09-03,158.0106,technical_breakdown,-0.007539056685189283,16,0.10771247445997734,False
13,TGT,drawdown_recovery,2024-11-27,124.5494,2024-11-29,126.6749,technical_breakdown,0.01706551777848775,1,0.06664504204757304,True
14,TGT,drawdown_recovery,2024-12-02,125.1526,2024-12-03,125.8515,technical_breakdown,0.005584382585739345,1,0.052874650626515196,True
15,TGT,drawdown_recovery,2024-12-04,124.5303,2024-12-05,123.6686,technical_breakdown,-0.006919601093067329,1,0.047937730817319224,False
16,TSLA,drawdown_recovery,2024-03-22,170.83,2024-03-25,172.63,technical_breakdown,0.010536790961774845,1,0.02581513785634848,True
