trade_id,asset,setup,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct,holding_period,max_gain_pct,is_winner
1,AAPL,volatility_contraction_breakout,2024-06-11,205.7692,2024-08-05,208.76239999999999,trailing_stop,0.014546394698526255,37,0.1528936303392343,True
2,AAPL,volatility_contraction_breakout,2024-09-13,221.2709,2025-01-16,228.88800000000003,trailing_stop,0.03442431878751351,85,0.17548218044035613,True
3,ABBV,volatility_contraction_breakout,2024-03-25,167.885,2024-05-28,154.955,trailing_stop,-0.07701700568841752,44,0.08586234624892053,False
4,ABBV,volatility_contraction_breakout,2024-07-16,162.1128,2024-11-11,176.22199999999998,trailing_stop,0.08703322624740295,83,0.27886261911459176,True
5,ABT,volatility_contraction_breakout,2024-06-07,104.5008,2024-07-01,100.2462,technical_breakdown,-0.04071356391530012,15,0.04286282975824118,False
6,ABT,volatility_contraction_breakout,2024-07-24,104.7465,2025-07-17,120.04549999999999,trailing_stop,0.14605738616564756,245,0.3483028072537029,True
7,ACN,volatility_contraction_breakout,2024-08-21,325.2525,2025-03-06,340.56,trailing_stop,0.04706343533101198,134,0.22474077831838346,True
8,ADBE,volatility_contraction_breakout,2024-08-16,553.46,2024-09-16,521.5,technical_breakdown,-0.057745817222563556,20,0.06195569688866387,False
9,ADBE,volatility_contraction_breakout,2024-11-12,526.42,2024-11-15,503.37,technical_breakdown,-0.043786330306599175,3,0.02564492230538362,False
10,ADBE,volatility_contraction_breakout,2024-12-05,538.22,2024-12-12,474.21491499999996,trailing_stop,-0.11891993051168681,5,0.036564787633309725,False
11,ADI,volatility_contraction_breakout,2024-03-28,192.1792,2024-08-02,207.51899999999998,trailing_stop,0.07982029272678814,87,0.27037681497269195,True
12,ADI,volatility_contraction_breakout,2024-10-09,228.4847,2024-11-15,202.1429,technical_breakdown,-0.11528912001547587,27,0.037399878416366494,False
13,AMAT,volatility_contraction_breakout,2024-03-21,207.414,2024-07-18,217.5065,trailing_stop,0.0486587212049332,81,0.23371614259403906,True
14,AMAT,volatility_contraction_breakout,2024-10-14,211.2615,2024-10-15,188.6725,technical_breakdown,-0.10692435678057766,1,0.021009507174757136,False
15,AMD,volatility_contraction_breakout,2024-05-15,159.67,2024-07-17,164.8064,trailing_stop,0.0321688482495146,42,0.17291914573808498,True
16,AMZN,volatility_contraction_breakout,2024-03-22,178.87,2024-07-25,177.05599999999998,trailing_stop,-0.010141443506457293,85,0.12483926874266227,False
17,AMZN,volatility_contraction_breakout,2024-09-11,184.52,2025-02-25,206.142,trailing_stop,0.11717970951658341,113,0.31432907001951005,True
18,AON,volatility_contraction_breakout,2024-03-19,318.1206,2024-04-11,306.5201,technical_breakdown,-0.03646573029222255,16,0.056391821214973215,False
